LULC,HRU,year,surfaceQ,lateralQ,NSURQ,NLATQ,Yield_tonperha,TileQ,TileNO3
OYB,157,18.0,17.333,2.279,0.226,0.078,6.631,281.0,28.8
OYB,158,18.0,12.662,1.936,0.184,0.121,6.742999999999999,319.0,21.1
OYB,159,18.0,12.388,3.9339999999999997,0.17,0.21600000000000003,6.678,288.0,21.3
OYB,160,18.0,12.422,1.847,0.17,0.10300000000000001,6.684,290.0,21.3
ORN,161,18.0,11.609000000000002,1.909,0.166,0.11,6.999,293.0,20.7
ORN,162,18.0,11.59,4.666,0.166,0.263,6.992000000000001,291.0,20.6
ORN,163,18.0,11.376,11.375,0.154,0.478,6.7620000000000005,0.0,0.0
ORN,164,18.0,10.924000000000001,8.581,0.152,0.6940000000000001,7.093,282.0,16.2
OYB,165,18.0,12.682,1.6159999999999999,0.184,0.10099999999999999,6.744,320.0,21.1
ORN,166,18.0,12.628,1.6569999999999998,0.184,0.125,6.99,321.0,24.1
OYB,167,18.0,11.658,290.434,0.165,8.93,6.581,0.0,0.0
ORN,168,18.0,12.597000000000001,1.6580000000000001,0.184,0.125,6.99,321.0,24.1
OYB,169,18.0,12.703,1.615,0.185,0.10099999999999999,6.744,320.0,21.1
ORN,170,18.0,11.884,289.388,0.171,10.525,6.664,0.0,0.0
OYB,171,18.0,12.677999999999999,1.6159999999999999,0.184,0.10099999999999999,6.744,320.0,21.1
ORN,172,18.0,14.665999999999999,90.525,0.19399999999999998,3.3710000000000004,6.527,0.0,0.0
OYB,173,18.0,12.705,1.615,0.185,0.10099999999999999,6.744,320.0,21.1
ORN,174,18.0,12.585999999999999,1.6580000000000001,0.184,0.125,6.99,321.0,24.1
OYB,175,18.0,12.415999999999999,1.847,0.17,0.10300000000000001,6.685,290.0,21.3
OYB,176,18.0,12.394,4.226,0.17,0.23199999999999998,6.6770000000000005,288.0,21.3
ORN,177,18.0,12.571,4.564,0.183,0.33799999999999997,6.977,318.0,24.1
ORN,178,18.0,12.585,1.986,0.184,0.149,6.9879999999999995,321.0,24.1
OYB,179,18.0,10.453,1.88,0.139,0.115,6.72,312.0,20.2
OYB,180,18.0,10.448,4.328,0.138,0.26,6.712000000000001,310.0,20.2
OYB,181,18.0,10.259,11.675,0.14300000000000002,0.45799999999999996,6.412000000000001,0.0,0.0
OYB,182,18.0,9.718,9.036,0.133,0.76,6.851,300.0,16.3
ORN,183,18.0,11.585999999999999,4.3660000000000005,0.166,0.24600000000000002,6.992999999999999,291.0,20.6
ORN,184,18.0,11.612,1.909,0.166,0.11,6.999,293.0,20.7
